EspecieBase,Forma,ConstInterna,Categoria,ExisteNoRepo,Habilitada,ObtivelPermanente,ComoObter/Ativar,TransformacaoDeBatalha,Evidencia
MELOETTA_ARIA,MELOETTA_PIROUETTE,SPECIES_MELOETTA_PIROUETTE,Alternativa/cosmética/batalha,Sim,Sim,Não,Após o golpe (batalha),Após o golpe (batalha),src/data/pokemon/species_info/gen_5_families.h:14187
GENESECT,GENESECT_DOUSE,SPECIES_GENESECT_DOUSE,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_DOUSE_DRIVE): FORM_CHANGE_ITEM_HOLD, SPECIES_GENESECT_DOUSE, ITEM_DOUSE_DRIVE",,src/data/pokemon/species_info/gen_5_families.h:14340
GENESECT,GENESECT_SHOCK,SPECIES_GENESECT_SHOCK,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_SHOCK_DRIVE): FORM_CHANGE_ITEM_HOLD, SPECIES_GENESECT_SHOCK, ITEM_SHOCK_DRIVE",,src/data/pokemon/species_info/gen_5_families.h:14341
GENESECT,GENESECT_BURN,SPECIES_GENESECT_BURN,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_BURN_DRIVE): FORM_CHANGE_ITEM_HOLD, SPECIES_GENESECT_BURN, ITEM_BURN_DRIVE",,src/data/pokemon/species_info/gen_5_families.h:14342
GENESECT,GENESECT_CHILL,SPECIES_GENESECT_CHILL,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_CHILL_DRIVE): FORM_CHANGE_ITEM_HOLD, SPECIES_GENESECT_CHILL, ITEM_CHILL_DRIVE",,src/data/pokemon/species_info/gen_5_families.h:14343
GRENINJA,GRENINJA_BATTLE_BOND,SPECIES_GRENINJA_BATTLE_BOND,Alternativa/cosmética/batalha,Sim,Sim,Sim,Presente de NPC @ ROUTE40_HOUSE4 [data/maps/Route40_House4/scripts.inc:210],,src/data/pokemon/species_info/gen_6_families.h:775
GRENINJA,GRENINJA_ASH,SPECIES_GRENINJA_ASH,Alternativa/cosmética/batalha,Sim,Sim,Não,Battle Bond,Battle Bond,src/data/pokemon/species_info/gen_6_families.h:839
VIVILLON_ICY_SNOW,VIVILLON_POLAR,SPECIES_VIVILLON_POLAR,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1574
VIVILLON_ICY_SNOW,VIVILLON_TUNDRA,SPECIES_VIVILLON_TUNDRA,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1584
VIVILLON_ICY_SNOW,VIVILLON_CONTINENTAL,SPECIES_VIVILLON_CONTINENTAL,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1594
VIVILLON_ICY_SNOW,VIVILLON_GARDEN,SPECIES_VIVILLON_GARDEN,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1604
VIVILLON_ICY_SNOW,VIVILLON_ELEGANT,SPECIES_VIVILLON_ELEGANT,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1614
VIVILLON_ICY_SNOW,VIVILLON_MEADOW,SPECIES_VIVILLON_MEADOW,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1624
VIVILLON_ICY_SNOW,VIVILLON_MODERN,SPECIES_VIVILLON_MODERN,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1634
VIVILLON_ICY_SNOW,VIVILLON_MARINE,SPECIES_VIVILLON_MARINE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1644
VIVILLON_ICY_SNOW,VIVILLON_ARCHIPELAGO,SPECIES_VIVILLON_ARCHIPELAGO,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1654
VIVILLON_ICY_SNOW,VIVILLON_HIGH_PLAINS,SPECIES_VIVILLON_HIGH_PLAINS,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1664
VIVILLON_ICY_SNOW,VIVILLON_SANDSTORM,SPECIES_VIVILLON_SANDSTORM,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1674
VIVILLON_ICY_SNOW,VIVILLON_RIVER,SPECIES_VIVILLON_RIVER,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1684
VIVILLON_ICY_SNOW,VIVILLON_MONSOON,SPECIES_VIVILLON_MONSOON,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1694
VIVILLON_ICY_SNOW,VIVILLON_SAVANNA,SPECIES_VIVILLON_SAVANNA,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1704
VIVILLON_ICY_SNOW,VIVILLON_SUN,SPECIES_VIVILLON_SUN,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1714
VIVILLON_ICY_SNOW,VIVILLON_OCEAN,SPECIES_VIVILLON_OCEAN,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1724
VIVILLON_ICY_SNOW,VIVILLON_JUNGLE,SPECIES_VIVILLON_JUNGLE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1734
VIVILLON_ICY_SNOW,VIVILLON_FANCY,SPECIES_VIVILLON_FANCY,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1744
VIVILLON_ICY_SNOW,VIVILLON_POKEBALL,SPECIES_VIVILLON_POKEBALL,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:1754
FLABEBE_RED,FLABEBE_YELLOW,SPECIES_FLABEBE_YELLOW,Alternativa/cosmética/batalha,Sim,Sim,Sim,breeding: egg from SPECIES_FLOETTE_YELLOW,,src/data/pokemon/species_info/gen_6_families.h:2057
FLABEBE_RED,FLABEBE_ORANGE,SPECIES_FLABEBE_ORANGE,Alternativa/cosmética/batalha,Sim,Sim,Sim,breeding: egg from SPECIES_FLOETTE_ORANGE,,src/data/pokemon/species_info/gen_6_families.h:2067
FLABEBE_RED,FLABEBE_BLUE,SPECIES_FLABEBE_BLUE,Alternativa/cosmética/batalha,Sim,Sim,Sim,breeding: egg from SPECIES_FLOETTE_BLUE,,src/data/pokemon/species_info/gen_6_families.h:2077
FLABEBE_RED,FLABEBE_WHITE,SPECIES_FLABEBE_WHITE,Alternativa/cosmética/batalha,Sim,Sim,Sim,breeding: egg from SPECIES_FLOETTE_WHITE,,src/data/pokemon/species_info/gen_6_families.h:2087
FLOETTE_RED,FLOETTE_YELLOW,SPECIES_FLOETTE_YELLOW,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ TOHJO_PASS [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_6_families.h:2171
FLOETTE_RED,FLOETTE_ORANGE,SPECIES_FLOETTE_ORANGE,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ TOHJO_PASS [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_6_families.h:2181
FLOETTE_RED,FLOETTE_BLUE,SPECIES_FLOETTE_BLUE,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ TOHJO_PASS [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_6_families.h:2191
FLOETTE_RED,FLOETTE_WHITE,SPECIES_FLOETTE_WHITE,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ TOHJO_PASS [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_6_families.h:2201
FLOETTE_RED,FLOETTE_ETERNAL,SPECIES_FLOETTE_ETERNAL,Alternativa/cosmética/batalha,Sim,Sim,Sim,Presente de NPC @ ROUTE40_HOUSE4 [data/maps/Route40_House4/scripts.inc:258],,src/data/pokemon/species_info/gen_6_families.h:2211
FLORGES_RED,FLORGES_YELLOW,SPECIES_FLORGES_YELLOW,Alternativa/cosmética/batalha,Sim,Sim,Sim,"evolution: from SPECIES_FLOETTE_YELLOW : EVO_ITEM, ITEM_SHINY_STONE, SPECIES_FLORGES_YELLOW",,src/data/pokemon/species_info/gen_6_families.h:2309
FLORGES_RED,FLORGES_ORANGE,SPECIES_FLORGES_ORANGE,Alternativa/cosmética/batalha,Sim,Sim,Sim,"evolution: from SPECIES_FLOETTE_ORANGE : EVO_ITEM, ITEM_SHINY_STONE, SPECIES_FLORGES_ORANGE",,src/data/pokemon/species_info/gen_6_families.h:2319
FLORGES_RED,FLORGES_BLUE,SPECIES_FLORGES_BLUE,Alternativa/cosmética/batalha,Sim,Sim,Sim,"evolution: from SPECIES_FLOETTE_BLUE : EVO_ITEM, ITEM_SHINY_STONE, SPECIES_FLORGES_BLUE",,src/data/pokemon/species_info/gen_6_families.h:2329
FLORGES_RED,FLORGES_WHITE,SPECIES_FLORGES_WHITE,Alternativa/cosmética/batalha,Sim,Sim,Sim,"evolution: from SPECIES_FLOETTE_WHITE : EVO_ITEM, ITEM_SHINY_STONE, SPECIES_FLORGES_WHITE",,src/data/pokemon/species_info/gen_6_families.h:2338
FURFROU_NATURAL,FURFROU_HEART,SPECIES_FURFROU_HEART,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2763
FURFROU_NATURAL,FURFROU_STAR,SPECIES_FURFROU_STAR,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2764
FURFROU_NATURAL,FURFROU_DIAMOND,SPECIES_FURFROU_DIAMOND,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2765
FURFROU_NATURAL,FURFROU_DEBUTANTE,SPECIES_FURFROU_DEBUTANTE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2766
FURFROU_NATURAL,FURFROU_MATRON,SPECIES_FURFROU_MATRON,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2767
FURFROU_NATURAL,FURFROU_DANDY,SPECIES_FURFROU_DANDY,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2768
FURFROU_NATURAL,FURFROU_LA_REINE,SPECIES_FURFROU_LA_REINE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2769
FURFROU_NATURAL,FURFROU_KABUKI,SPECIES_FURFROU_KABUKI,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2770
FURFROU_NATURAL,FURFROU_PHARAOH,SPECIES_FURFROU_PHARAOH,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:2771
MEOWSTIC_M,MEOWSTIC_F,SPECIES_MEOWSTIC_F,Alternativa/cosmética/batalha,Sim,Sim,Sim,Hidden Grotto @ HIDDEN_GROTTO_ROUTE38 [src/hidden_grotto.c],,src/data/pokemon/species_info/gen_6_families.h:2918
AEGISLASH_SHIELD,AEGISLASH_BLADE,SPECIES_AEGISLASH_BLADE,Alternativa/cosmética/batalha,Sim,Sim,Não,Antes do golpe (batalha); Antes do golpe (batalha),Antes do golpe (batalha),src/data/pokemon/species_info/gen_6_families.h:3329
PUMPKABOO_AVERAGE,PUMPKABOO_SMALL,SPECIES_PUMPKABOO_SMALL,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:5857
PUMPKABOO_AVERAGE,PUMPKABOO_LARGE,SPECIES_PUMPKABOO_LARGE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:5924
PUMPKABOO_AVERAGE,PUMPKABOO_SUPER,SPECIES_PUMPKABOO_SUPER,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:5991
GOURGEIST_AVERAGE,GOURGEIST_SMALL,SPECIES_GOURGEIST_SMALL,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:6125
GOURGEIST_AVERAGE,GOURGEIST_LARGE,SPECIES_GOURGEIST_LARGE,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:6190
GOURGEIST_AVERAGE,GOURGEIST_SUPER,SPECIES_GOURGEIST_SUPER,Alternativa/cosmética/batalha,Sim,Não,Não,Sem método de ativação definido,,src/data/pokemon/species_info/gen_6_families.h:6255
XERNEAS_NEUTRAL,XERNEAS_ACTIVE,SPECIES_XERNEAS_ACTIVE,Alternativa/cosmética/batalha,Sim,Sim,Não,Início de batalha,Início de batalha,src/data/pokemon/species_info/gen_6_families.h:6767
ZYGARDE_50,ZYGARDE_10_AURA_BREAK,SPECIES_ZYGARDE_10_AURA_BREAK,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_ZYGARDE_CUBE): FORM_CHANGE_ITEM_USE_MULTICHOICE, SPECIES_ZYGARDE_10_AURA_BREAK, ITEM_ZYGARDE_CUBE, 0",,src/data/pokemon/species_info/gen_6_families.h:7045
ZYGARDE_50,ZYGARDE_10_POWER_CONSTRUCT,SPECIES_ZYGARDE_10_POWER_CONSTRUCT,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_ZYGARDE_CUBE): FORM_CHANGE_ITEM_USE_MULTICHOICE, SPECIES_ZYGARDE_10_POWER_CONSTRUCT, ITEM_ZYGARDE_CUBE, 1",,src/data/pokemon/species_info/gen_6_families.h:7112
ZYGARDE_50,ZYGARDE_50_POWER_CONSTRUCT,SPECIES_ZYGARDE_50_POWER_CONSTRUCT,Alternativa/cosmética/batalha,Sim,Sim,Não,"BLOQUEADO(ITEM_ZYGARDE_CUBE): FORM_CHANGE_ITEM_USE_MULTICHOICE, SPECIES_ZYGARDE_50_POWER_CONSTRUCT, ITEM_ZYGARDE_CUBE, 1",,src/data/pokemon/species_info/gen_6_families.h:6978
ZYGARDE_50,ZYGARDE_COMPLETE,SPECIES_ZYGARDE_COMPLETE,Alternativa/cosmética/batalha,Sim,Sim,Não,HP baixo em batalha; HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_6_families.h:7179
HOOPA_CONFINED,HOOPA_UNBOUND,SPECIES_HOOPA_UNBOUND,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_USE, SPECIES_HOOPA_UNBOUND, ITEM_PRISON_BOTTLE",,src/data/pokemon/species_info/gen_6_families.h:7557
ORICORIO_BAILE,ORICORIO_POM_POM,SPECIES_ORICORIO_POM_POM,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_USE, SPECIES_ORICORIO_POM_POM, ITEM_YELLOW_NECTAR",,src/data/pokemon/species_info/gen_7_families.h:1745
ORICORIO_BAILE,ORICORIO_PAU,SPECIES_ORICORIO_PAU,Alternativa/cosmética/batalha,Sim,Sim,Sim,"FORM_CHANGE_ITEM_USE, SPECIES_ORICORIO_PAU, ITEM_PINK_NECTAR",,src/data/pokemon/species_info/gen_7_families.h:1821
ORICORIO_BAILE,ORICORIO_SENSU,SPECIES_ORICORIO_SENSU,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ ROUTE47 [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_7_families.h:1897
ROCKRUFF,ROCKRUFF_OWN_TEMPO,SPECIES_ROCKRUFF_OWN_TEMPO,Alternativa/cosmética/batalha,Sim,Sim,Sim,Hidden Grotto @ HIDDEN_GROTTO_GOLDENROD_SHORE [src/hidden_grotto.c],,src/data/pokemon/species_info/gen_7_families.h:2271
LYCANROC_MIDDAY,LYCANROC_MIDNIGHT,SPECIES_LYCANROC_MIDNIGHT,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ MT_SILVER_1F_ITEM_ROOM [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_7_families.h:2404
LYCANROC_MIDDAY,LYCANROC_DUSK,SPECIES_LYCANROC_DUSK,Alternativa/cosmética/batalha,Sim,Sim,Sim,Encontro selvagem @ MT_SILVER_1F_WATERFALL_ROOM [src/data/wild_encounters.json],,src/data/pokemon/species_info/gen_7_families.h:2473
WISHIWASHI_SOLO,WISHIWASHI_SCHOOL,SPECIES_WISHIWASHI_SCHOOL,Alternativa/cosmética/batalha,Sim,Não,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_7_families.h:2620
SILVALLY_NORMAL,SILVALLY_FIGHTING,SPECIES_SILVALLY_FIGHTING,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_FIGHTING_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_FIGHTING, ITEM_FIGHTING_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4832
SILVALLY_NORMAL,SILVALLY_FLYING,SPECIES_SILVALLY_FLYING,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_FLYING_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_FLYING, ITEM_FLYING_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4833
SILVALLY_NORMAL,SILVALLY_POISON,SPECIES_SILVALLY_POISON,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_POISON_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_POISON, ITEM_POISON_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4834
SILVALLY_NORMAL,SILVALLY_GROUND,SPECIES_SILVALLY_GROUND,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_GROUND_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_GROUND, ITEM_GROUND_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4835
SILVALLY_NORMAL,SILVALLY_ROCK,SPECIES_SILVALLY_ROCK,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_ROCK_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_ROCK, ITEM_ROCK_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4836
SILVALLY_NORMAL,SILVALLY_BUG,SPECIES_SILVALLY_BUG,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_BUG_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_BUG, ITEM_BUG_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4837
SILVALLY_NORMAL,SILVALLY_GHOST,SPECIES_SILVALLY_GHOST,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_GHOST_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_GHOST, ITEM_GHOST_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4838
SILVALLY_NORMAL,SILVALLY_STEEL,SPECIES_SILVALLY_STEEL,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_STEEL_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_STEEL, ITEM_STEEL_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4839
SILVALLY_NORMAL,SILVALLY_FIRE,SPECIES_SILVALLY_FIRE,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_FIRE_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_FIRE, ITEM_FIRE_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4840
SILVALLY_NORMAL,SILVALLY_WATER,SPECIES_SILVALLY_WATER,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_WATER_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_WATER, ITEM_WATER_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4841
SILVALLY_NORMAL,SILVALLY_GRASS,SPECIES_SILVALLY_GRASS,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_GRASS_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_GRASS, ITEM_GRASS_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4842
SILVALLY_NORMAL,SILVALLY_ELECTRIC,SPECIES_SILVALLY_ELECTRIC,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_ELECTRIC_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_ELECTRIC, ITEM_ELECTRIC_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4843
SILVALLY_NORMAL,SILVALLY_PSYCHIC,SPECIES_SILVALLY_PSYCHIC,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_PSYCHIC_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_PSYCHIC, ITEM_PSYCHIC_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4844
SILVALLY_NORMAL,SILVALLY_ICE,SPECIES_SILVALLY_ICE,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_ICE_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_ICE, ITEM_ICE_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4845
SILVALLY_NORMAL,SILVALLY_DRAGON,SPECIES_SILVALLY_DRAGON,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_DRAGON_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_DRAGON, ITEM_DRAGON_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4846
SILVALLY_NORMAL,SILVALLY_DARK,SPECIES_SILVALLY_DARK,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_DARK_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_DARK, ITEM_DARK_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4847
SILVALLY_NORMAL,SILVALLY_FAIRY,SPECIES_SILVALLY_FAIRY,Alternativa/cosmética/batalha,Sim,Não,Não,"BLOQUEADO(ITEM_FAIRY_MEMORY): FORM_CHANGE_ITEM_HOLD, SPECIES_SILVALLY_FAIRY, ITEM_FAIRY_MEMORY, ABILITY_RKS_SYSTEM",,src/data/pokemon/species_info/gen_7_families.h:4848
MINIOR_METEOR_RED,MINIOR_METEOR_ORANGE,SPECIES_MINIOR_METEOR_ORANGE,Alternativa/cosmética/batalha,Sim,Não,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_7_families.h:4960
MINIOR_METEOR_RED,MINIOR_METEOR_YELLOW,SPECIES_MINIOR_METEOR_YELLOW,Alternativa/cosmética/batalha,Sim,Não,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_7_families.h:4961
MINIOR_METEOR_RED,MINIOR_METEOR_GREEN,SPECIES_MINIOR_METEOR_GREEN,Alternativa/cosmética/batalha,Sim,Não,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_7_families.h:4962
MINIOR_METEOR_RED,MINIOR_METEOR_BLUE,SPECIES_MINIOR_METEOR_BLUE,Alternativa/cosmética/batalha,Sim,Não,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_7_families.h:4963
MINIOR_METEOR_RED,MINIOR_METEOR_INDIGO,SPECIES_MINIOR_METEOR_INDIGO,Alternativa/cosmética/batalha,Sim,Não,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_7_families.h:4964
MINIOR_METEOR_RED,MINIOR_METEOR_VIOLET,SPECIES_MINIOR_METEOR_VIOLET,Alternativa/cosmética/batalha,Sim,Não,Não,HP baixo em batalha,HP baixo em batalha,src/data/pokemon/species_info/gen_7_families.h:4965
MINIOR_METEOR_RED,MINIOR_CORE_RED,SPECIES_MINIOR_CORE_RED,Alternativa/cosmética/batalha,Sim,Não,Não,Início de batalha; HP baixo em batalha; Ao trocar (batalha),Ao trocar (batalha); HP baixo em batalha; Início de batalha,src/data/pokemon/species_info/gen_7_families.h:4966
MINIOR_METEOR_RED,MINIOR_CORE_ORANGE,SPECIES_MINIOR_CORE_ORANGE,Alternativa/cosmética/batalha,Sim,Não,Não,Início de batalha; HP baixo em batalha; Ao trocar (batalha),Ao trocar (batalha); HP baixo em batalha; Início de batalha,src/data/pokemon/species_info/gen_7_families.h:4967
MINIOR_METEOR_RED,MINIOR_CORE_YELLOW,SPECIES_MINIOR_CORE_YELLOW,Alternativa/cosmética/batalha,Sim,Não,Não,Início de batalha; HP baixo em batalha; Ao trocar (batalha),Ao trocar (batalha); HP baixo em batalha; Início de batalha,src/data/pokemon/species_info/gen_7_families.h:4968
MINIOR_METEOR_RED,MINIOR_CORE_GREEN,SPECIES_MINIOR_CORE_GREEN,Alternativa/cosmética/batalha,Sim,Não,Não,Início de batalha; HP baixo em batalha; Ao trocar (batalha),Ao trocar (batalha); HP baixo em batalha; Início de batalha,src/data/pokemon/species_info/gen_7_families.h:4969
MINIOR_METEOR_RED,MINIOR_CORE_BLUE,SPECIES_MINIOR_CORE_BLUE,Alternativa/cosmética/batalha,Sim,Não,Não,Início de batalha; HP baixo em batalha; Ao trocar (batalha),Ao trocar (batalha); HP baixo em batalha; Início de batalha,src/data/pokemon/species_info/gen_7_families.h:4970
MINIOR_METEOR_RED,MINIOR_CORE_INDIGO,SPECIES_MINIOR_CORE_INDIGO,Alternativa/cosmética/batalha,Sim,Não,Não,Início de batalha; HP baixo em batalha; Ao trocar (batalha),Ao trocar (batalha); HP baixo em batalha; Início de batalha,src/data/pokemon/species_info/gen_7_families.h:4971
MINIOR_METEOR_RED,MINIOR_CORE_VIOLET,SPECIES_MINIOR_CORE_VIOLET,Alternativa/cosmética/batalha,Sim,Não,Não,Início de batalha; HP baixo em batalha; Ao trocar (batalha),Ao trocar (batalha); HP baixo em batalha; Início de batalha,src/data/pokemon/species_info/gen_7_families.h:4972
